table_name	prefix	rows_est	size_kb	migration_action
acm_board	acm_	1000	176.0	EXCLUDE
acm_board_category_info	acm_	25760	1552.0	EXCLUDE
acm_board_comment	acm_	8	16.0	EXCLUDE
acm_board_file	acm_	2834	432.0	EXCLUDE
acm_board_mng	acm_	53	16.0	EXCLUDE
acm_board_voting	acm_	10	16.0	EXCLUDE
acm_book	acm_	705	1552.0	EXCLUDE
acm_book_plus	acm_	3646	224.0	EXCLUDE
acm_box	acm_	17	16.0	EXCLUDE
acm_box_num	acm_	948	80.0	EXCLUDE
acm_box_rent	acm_	3532	352.0	EXCLUDE
acm_category_info	acm_	12	16.0	EXCLUDE
acm_exam_answer	acm_	6	16.0	EXCLUDE
acm_exam_bank	acm_	4	16.0	EXCLUDE
acm_exam_bank_item	acm_	20	48.0	EXCLUDE
acm_exam_mst	acm_	4	16.0	EXCLUDE
acm_exam_ord	acm_	0	16.0	EXCLUDE
acm_exam_req	acm_	30	16.0	EXCLUDE
acm_exam_set	acm_	3	16.0	EXCLUDE
acm_exam_set_item	acm_	11	32.0	EXCLUDE
acm_exam_subject	acm_	0	32.0	EXCLUDE
acm_learning_form_info	acm_	13	16.0	EXCLUDE
acm_lecture_choice_jong	acm_	260	16.0	EXCLUDE
acm_lecture_jong	acm_	3491	320.0	EXCLUDE
acm_lecture_mst	acm_	2391	1552.0	EXCLUDE
acm_member	acm_	1002	304.0	EXCLUDE
acm_member_category	acm_	27772	1552.0	EXCLUDE
acm_member_subject	acm_	78	16.0	EXCLUDE
acm_menu_mst	acm_	159	48.0	EXCLUDE
acm_menu_mst2	acm_	240	64.0	EXCLUDE
acm_movie	acm_	60286	27200.0	EXCLUDE
acm_mylecture	acm_	42638	4624.0	EXCLUDE
acm_mymovie	acm_	527478	53984.0	EXCLUDE
acm_notification	acm_	48	48.0	EXCLUDE
acm_orders	acm_	58024	7696.0	EXCLUDE
acm_order_item	acm_	75053	7728.0	EXCLUDE
acm_order_pay	acm_	59259	5648.0	EXCLUDE
acm_order_refund	acm_	2093	160.0	EXCLUDE
acm_order_seq	acm_	3	16.0	EXCLUDE
acm_order_yearpackage	acm_	0	16.0	EXCLUDE
acm_room	acm_	2	16.0	EXCLUDE
acm_room_num	acm_	20	16.0	EXCLUDE
acm_room_rent	acm_	9	16.0	EXCLUDE
acm_site	acm_	8	16.0	EXCLUDE
acm_site_menu	acm_	284	48.0	EXCLUDE
acm_subject_info	acm_	25	16.0	EXCLUDE
acm_survey_bnk	acm_	10	16.0	EXCLUDE
acm_survey_mst	acm_	9	16.0	EXCLUDE
acm_survey_rst	acm_	31	32.0	EXCLUDE
acm_survey_rst_item	acm_	214	32.0	EXCLUDE
acm_survey_set	acm_	10	16.0	EXCLUDE
acm_survey_set_item	acm_	61	32.0	EXCLUDE
acm_texamineeanswer	acm_	0	16.0	EXCLUDE
acm_tmockgrade	acm_	0	16.0	EXCLUDE
acm_tmockregistration	acm_	0	16.0	EXCLUDE
acm_tmocksubject	acm_	0	16.0	EXCLUDE
acm_tmock_rst_sbj	acm_	0	16.0	EXCLUDE
acm_tmock_sbj_mst	acm_	0	16.0	EXCLUDE
acm_tsubjectarea	acm_	242	48.0	EXCLUDE
acm_tuserchoicesubject	acm_	0	16.0	EXCLUDE
acm_twronganswernote	acm_	0	16.0	EXCLUDE
bk_book	bk_	0	16.0	MIGRATE
bk_delivery	bk_	0	32.0	MIGRATE
bk_delivery_address	bk_	0	32.0	MIGRATE
en_cart_item	en_	0	48.0	MIGRATE
en_enrollment	en_	0	64.0	MIGRATE
ex_mock_attempt	ex_	0	48.0	MIGRATE
ex_mock_exam	ex_	0	32.0	MIGRATE
id_admin	id_	3	48.0	MIGRATE
od_order	od_	0	48.0	MIGRATE
od_order_item	od_	0	32.0	MIGRATE
od_payment	od_	0	32.0	MIGRATE
author_info	OTHER	6	32.0	MIGRATE
author_role_relate	OTHER	12	64.0	MIGRATE
backup_opert	OTHER	0	32.0	MIGRATE
batch_opert	OTHER	0	32.0	MIGRATE
batch_schdul	OTHER	0	32.0	MIGRATE
batch_schdul_dfk	OTHER	0	32.0	MIGRATE
ba_config_cd	OTHER	65	16.0	MIGRATE
cmmn_cl_code	OTHER	0	32.0	MIGRATE
cmmn_code	OTHER	77	48.0	MIGRATE
cmmn_detail_code	OTHER	422	96.0	MIGRATE
comtnbbs	OTHER	0	48.0	MIGRATE
comtnbbsmaster	OTHER	2	32.0	MIGRATE
comtnbbsmasteroptn	OTHER	0	32.0	MIGRATE
comtnbbsuse	OTHER	0	48.0	MIGRATE
comtnloginlog	OTHER	485	80.0	MIGRATE
comtnloginpolicy	OTHER	0	32.0	MIGRATE
comtnmenuinfo	OTHER	183	96.0	MIGRATE
comtnntwrksvcmntrng	OTHER	0	32.0	MIGRATE
comtnntwrksvcmntrngloginfo	OTHER	0	32.0	MIGRATE
comtnprivacylog	OTHER	497	128.0	MIGRATE
comtnprogrmlist	OTHER	170	64.0	MIGRATE
comtntmplatinfo	OTHER	3	32.0	MIGRATE
comtntrsmrcvlog	OTHER	0	32.0	MIGRATE
comtnuserlog	OTHER	1536	496.0	MIGRATE
comtsbbssummary	OTHER	1110	176.0	MIGRATE
comtssyslogsummary	OTHER	1492	432.0	MIGRATE
comtstrsmrcvlogsummary	OTHER	0	32.0	MIGRATE
comtsweblogsummary	OTHER	1421	192.0	MIGRATE
coop_coupon	OTHER	0	16.0	MIGRATE
coop_coupon_mst	OTHER	0	16.0	MIGRATE
coop_mst	OTHER	0	16.0	MIGRATE
cop_seq	OTHER	117	32.0	MIGRATE
counsel_rst	OTHER	20	48.0	MIGRATE
counsel_sch	OTHER	337	48.0	MIGRATE
counsel_time	OTHER	8	16.0	MIGRATE
emplyrscrtyestbs	OTHER	4	48.0	MIGRATE
emplyr_info	OTHER	0	64.0	MIGRATE
entrprs_mber	OTHER	0	48.0	MIGRATE
flyway_schema_history	OTHER	13	32.0	MIGRATE
gnrl_mber	OTHER	2	48.0	MIGRATE
gosi_area_mst	OTHER	42	16.0	MIGRATE
gosi_cod	OTHER	16	16.0	MIGRATE
